0,0,3780,5040,
0,1776,836,1455,
0,1776,836,1455,
0,1776,836,1455,
0,1776,836,1455, 
982,0,1582,607,
982,0,1583,607,
1282,0,770,23,
1282,0,33,23,“Ss
1568,0,62,21,en
1651,12,5,5,ers
1798,0,8,6,"""Me"
1860,1,14,11,a
2033,0,19,16,ware
2513,0,52,17,ve
1432,0,1132,56,
1432,26,8,30,‘4
1502,40,6,3,-
1567,20,37,26,el
1781,0,45,52,rf
1857,25,30,14,ve
1987,29,3,4,4
2509,18,3,4,.
2557,27,7,14,.
1262,43,1289,41,
1262,49,16,8,-
1443,64,45,19,rd
1579,57,34,27,oo
1656,57,13,4,7
1739,81,3,1,-
1771,44,23,13,“
1807,60,6,11,'
1990,69,29,11,ag
2371,49,5,9,","
2412,43,81,40,"os,"
2529,46,22,21,°
1262,83,1279,35,
1262,95,43,20,2.
1434,89,7,7,“
1593,82,214,29,ne
1841,87,61,23,ae
2009,112,4,6,;
2399,84,67,20,-
2451,76,27,45,O
2517,83,24,14,:
1307,128,1164,40,
1307,148,5,5,.
1444,135,63,31,a
1572,161,7,7,.
1621,133,117,35,ee
1865,134,27,6,i
2014,136,3,4,‘
2378,139,26,24,o
2434,128,37,40,_
1194,168,1182,25,
1194,180,2,2,.
1449,187,12,6,=
1601,181,4,3,_
1846,178,15,8,o
2364,168,12,7,_
1045,190,687,26,
1045,211,4,5,.
1213,190,111,24,"Qo”,"
1424,196,27,15,"dh,"
1724,196,8,12,:
1283,210,1166,39,
1235,217,81,32,Oe
1433,223,27,16,a
1537,220,41,27,ee
1638,231,62,15,Los
2037,219,8,15,?
2356,220,14,16,.
2442,210,7,8,:
1009,240,982,45,
1009,240,30,45,rey
1178,254,28,29,ms
1274,249,69,33,a
1443,245,43,27,ny
1525,264,26,15,ce
1629,246,93,28,te
1982,260,9,6,=
2022,263,16,4,=
1046,275,996,44,
1046,288,22,31,-
1184,286,25,11,i
1471,284,18,28,-
1600,279,100,28,ao
2007,275,35,26,"2"""
1121,316,1343,40,
1121,334,104,21,Do.
1273,329,25,27,PB
1451,316,281,44,ee
2051,320,4,3,:
2391,319,73,33,ge
1264,358,464,19,
1264,368,6,4,-
1487,358,139,23,Hee
1307,381,402,29,
1307,382,9,22,‘
1455,381,22,10,«
1547,385,91,25,vs
982,410,1365,52,
982,420,18,21,°
1208,411,58,51,ie
1441,412,259,50,8k
2325,410,22,19,°
1195,461,498,27,
1195,478,8,10,e
1269,476,15,8,r
1464,479,3,2,’
1589,461,21,19,°
1639,461,54,27,¢
1309,488,359,46,
1309,489,7,7,°
1508,489,66,45,6.
1632,488,36,21,o-
1219,523,517,45,
1219,531,44,37,vr’
1448,523,59,43,a.
1529,525,51,29,“o
1653,536,7,5,_—
1427,558,389,49,
1427,572,131,35,a
1797,558,19,23,@
969,1416,1600,324,
969,1416,1600,324,
969,1416,1501,99,
969,1427,373,80,FORTINOS
1405,1418,224,97,(1579
1680,1426,179,78,Main
1917,1425,273,79,Street
2246,1416,224,96,West)
969,1540,1600,81,
969,1544,279,77,Please
1303,1543,226,77,visit
1587,1564,88,57,us
1730,1541,83,78,at
1870,1563,163,56,wuw.
2063,1540,506,79,fortinos.
2491,1536,83,99,ca
971,1658,421,82,
971,1660,325,80,Welcome
1352,1658,40,79,#
979,1891,1633,1772,
979,1891,1633,1772,
979,1891,467,83,
979,1891,467,83,21-GROCERY
1078,2002,1488,89,
1078,2007,513,84,07889512639
