0,0,661,1059,
80,88,467,87,
80,88,467,87,
80,88,467,87,
80,88,10,86,|
157,90,390,85,FORTINOS.
40,216,400,30,
40,216,400,30,
40,216,400,30,
40,216,96,19,FORTINDS
157,219,59,19,(1579
230,220,47,20,Main
297,221,65,21,Street
382,222,58,24,West)
40,247,553,152,
40,247,553,152,
40,247,425,27,
40,247,71,20,Pleese
132,249,56,20,visit
206,256,23,14,us
244,252,21,19,at
281,258,42,14,wan.
334,253,131,21,"fortinos,"
446,243,22,37,ca
41,278,112,20,
41,278,86,20,Veloore
145,280,8,12,tt
43,339,99,21,
43,339,99,21,22-VAIRY
69,371,524,28,
69,371,137,22,0%390900636
224,374,67,20,NESTEA
310,376,44,19,ICEO
371,376,33,20,TEA
431,378,34,18,MRU
545,378,48,21,3.49
73,382,125,111,
73,382,125,111,
73,382,125,111,
73,382,125,111,   
189,436,404,24,
189,436,404,24,
189,436,404,24,
189,445,18,9,D3
220,436,46,18,PERY
282,436,47,19,P20P
344,437,71,19,PEPPRN
444,439,34,18,MRS
546,439,47,21,7.99
44,463,551,149,
50,463,55,19,
50,463,55,19,
50,463,55,19,2/-FR
44,493,551,119,
71,493,524,28,
71,493,54,20,"060253"""
159,495,43,19,854*
224,495,31,19,PCO
270,496,48,19,SLCD
332,496,82,21,OREMINT
444,498,34,20,MRI
546,500,49,21,3.49
44,523,550,29,
44,523,196,22,SUBTOTAL
475,530,54,20,14.
547,530,47,22,97
49,585,543,27,
49,585,113,20,TOTAL
476,590,54,22,14.
547,591,45,21,97
39,646,519,119,
40,646,518,88,
41,646,276,24,
41,646,69,21,Trans.
134,647,55,23,Type:
224,647,93,21,PURCHASE
40,678,518,26,
40,680,97,18,Account:
169,678,124,22,MASTERCARD
433,681,49,22,CAD$
500,682,58,22,14.97
40,709,228,25,
40,710,49,20,Card
107,709,55,25,Tyoa:
194,710,74,21,CREDIT
39,742,443,23,
39,742,443,23,
39,742,49,20,Card
105,744,83,18,Nunver:
257,743,198,22,rp
398,738,23,33,KS
431,738,31,33,77
471,744,11,20,P
219,374,5,325,
219,374,5,325,
219,374,5,325,
219,374,5,325, 
225,679,32,30,
225,679,32,30,
225,679,32,30,
225,679,32,30, 
38,773,432,116,
39,773,431,56,
39,773,431,25,
39,773,108,21,DateTime:
258,774,99,23,23/10/24
376,775,94,23,14:41:47
39,804,293,25,
39,804,43,22,Ret.
105,806,18,20,4:
260,806,72,23,414745
38,836,293,53,
39,836,292,24,
39,836,49,21,Auth
104,837,19,20,#:
257,838,74,22,044477
38,867,127,22,
38,867,127,22,Mastercard
39,898,444,141,
39,898,444,141,
39,898,316,25,
39,898,179,23,A0000000041010
232,900,123,23,0000008001
144,929,303,24,
144,929,23,22,00
181,930,100,22,APPROVED
309,939,10,4,~
336,931,58,21,THANK
410,932,37,21,YOU
104,958,379,25,
104,958,75,21,Retain
195,959,48,20,this
257,965,49,18,copy
322,960,34,21,for
372,961,111,21,statenent
233,988,124,22,
233,988,124,22,validation
157,1017,263,22,
157,1018,36,18,***
207,1017,99,22,CUSTOMER
321,1018,49,21,COPY
385,1020,35,18,#4
